City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,20.18,66,37,9.65,PN,1729639428
1,lospalos,-8.5186,127.0025,27.16,56,12,1.5,TL,1729639429
2,ribeira grande,38.5167,-28.7,22.1,94,100,8.49,PT,1729639430
3,waitangi,-43.9535,-176.5597,12.12,78,63,5.81,NZ,1729639431
4,talnakh,69.4865,88.3972,-19.05,89,9,2.04,RU,1729639432
5,bethel,41.3712,-73.414,20.88,65,0,0.89,US,1729639434
6,cabo san lucas,22.8909,-109.9124,31.53,63,0,4.63,MX,1729639315
7,port maria,18.3685,-76.8895,27.45,81,60,1.02,JM,1729639436
8,kerikeri,-35.2268,173.9474,19.47,48,2,2.71,NZ,1729639437
9,margaret river,-33.95,115.0667,13.93,58,82,1.97,AU,1729639336
10,petrolia,42.8668,-82.1498,19.34,52,0,3.09,CA,1729639439
11,wesley,15.5667,-61.3167,24.74,100,75,1.54,DM,1729639440
12,iaciara,-14.0958,-46.6317,24.78,71,100,2.07,BR,1729639442
13,aripuana,-9.1667,-60.6333,24.52,92,98,1.29,BR,1729639443
14,port-aux-francais,-49.35,70.2167,3.1,87,32,13.17,TF,1729639444
15,edinburgh of the seven seas,-37.0676,-12.3116,10.87,60,97,5.83,SH,1729639445
16,longyearbyen,78.2186,15.6401,3.91,70,75,10.29,SJ,1729639446
17,yellowknife,62.456,-114.3525,-0.33,91,100,7.72,CA,1729639447
18,stanley,54.868,-1.6985,7.01,89,0,2.57,GB,1729639234
19,invercargill,-46.4,168.35,17.23,74,100,4.47,NZ,1729639450
20,atafu village,-8.5421,-172.5159,28.55,76,54,6.54,TK,1729639451
21,lebu,-37.6167,-73.65,12.96,83,99,0.19,CL,1729639452
22,minab,27.1467,57.0801,27.78,77,4,1.64,IR,1729639453
23,roma,43.2128,-75.4557,19.5,67,0,0.0,US,1729639266
24,carnarvon,-24.8667,113.6333,19.01,60,0,10.0,AU,1729639455
25,benjamin aceval,-24.9667,-57.5667,30.67,48,97,1.91,PY,1729639457
26,grytviken,-54.2811,-36.5092,-3.02,75,28,6.41,GS,1729639458
27,udachny,66.4167,112.4,-14.93,96,100,4.36,RU,1729639459
28,sabang,5.8933,95.3214,28.32,76,20,8.5,ID,1729639460
29,derzhavinsk,51.1,66.3167,2.47,72,52,3.75,KZ,1729639461
30,saipan,15.1355,145.701,29.39,84,0,4.63,MP,1729639463
